Intervalle:600 sec;;;;;;;;
Tension:229.999 V;;;;;;;;
;;;;;;;;
;;;;;;;;
Date/Heure:2018/07/05;10:20:00.000 - 2018/14/05;;14:10:00.000;;;;;
;;;;;;;;
Date;Heure;'UL1_[V]';'UL2_[V]';'UL3_[V]';'IL1_[A]';'IL2_[A]';'IL3_[A]';'I_Neutral_[A]'
05.07.2018;10:20:00.000;234.881;235.080;235.828;1.553;0.351;0.661;1.653
05.07.2018;10:30:00.000;235.158;234.869;235.546;1.897;0.358;0.664;1.995
05.07.2018;10:40:00.000;235.073;234.973;235.602;2.175;0.363;0.670;2.307
05.07.2018;10:50:00.000;234.513;234.830;235.209;1.867;0.366;0.664;1.968
05.07.2018;11:00:00.000;234.147;235.020;235.435;0.621;0.366;0.648;0.418
05.07.2018;11:10:00.000;234.268;234.129;235.863;0.617;0.359;0.647;0.418
05.07.2018;11:20:00.000;234.237;233.886;235.500;0.616;0.355;0.647;0.428
05.07.2018;11:30:00.000;234.390;234.034;235.333;0.614;0.357;0.767;0.645
05.07.2018;11:40:00.000;234.246;233.831;235.208;0.614;0.356;0.758;0.636
05.07.2018;11:50:00.000;234.227;233.402;235.351;0.613;0.357;0.750;0.627
05.07.2018;12:00:00.000;233.613;234.105;235.419;0.612;0.356;0.744;0.617
05.07.2018;12:10:00.000;234.599;234.911;235.709;0.615;0.360;0.747;0.610
05.07.2018;12:20:00.000;235.559;234.957;236.794;0.614;0.358;0.679;0.496
05.07.2018;12:30:00.000;236.103;235.590;236.361;0.616;0.358;0.655;0.443
05.07.2018;12:40:00.000;235.995;236.023;237.087;0.617;0.358;0.657;0.439
05.07.2018;12:50:00.000;236.051;235.569;236.749;0.621;0.356;0.655;0.446
05.07.2018;13:00:00.000;234.177;233.629;234.166;0.614;0.356;0.648;0.441
05.07.2018;13:10:00.000;235.308;235.443;235.037;1.016;0.356;0.652;1.017
05.07.2018;13:20:00.000;235.139;236.296;235.468;6.060;0.361;0.717;6.188
05.07.2018;13:30:00.000;234.499;235.881;235.633;5.641;0.361;0.710;5.770
05.07.2018;13:40:00.000;234.409;235.775;235.678;5.244;0.358;0.807;5.304
05.07.2018;13:50:00.000;235.031;235.352;235.658;5.362;0.358;0.814;5.380
05.07.2018;14:00:00.000;234.690;235.323;236.353;5.204;0.366;0.805;5.226
05.07.2018;14:10:00.000;235.695;235.481;236.694;1.381;0.365;0.749;1.399
05.07.2018;14:20:00.000;235.550;235.679;236.442;1.750;0.357;0.747;1.758
05.07.2018;14:30:00.000;235.863;235.754;236.184;0.945;0.844;0.667;1.116
05.07.2018;14:40:00.000;235.865;235.969;236.904;0.787;0.363;0.656;0.745
05.07.2018;14:50:00.000;236.096;236.057;237.015;0.618;0.363;0.655;0.447
05.07.2018;15:00:00.000;235.372;236.362;237.133;0.617;0.362;0.653;0.457
05.07.2018;15:10:00.000;235.820;236.129;236.862;0.617;0.363;0.650;0.448
05.07.2018;15:20:00.000;236.142;236.039;236.980;0.615;0.362;0.650;0.436
05.07.2018;15:30:00.000;235.707;235.808;237.538;0.615;0.363;0.650;0.437
05.07.2018;15:40:00.000;235.500;236.175;237.294;0.617;0.364;0.781;0.675
05.07.2018;15:50:00.000;235.990;235.905;237.504;0.619;0.361;0.759;0.653
05.07.2018;16:00:00.000;234.717;234.439;235.862;0.616;0.362;0.752;0.638
05.07.2018;16:10:00.000;233.317;233.223;234.561;0.613;0.362;0.746;0.632
05.07.2018;16:20:00.000;233.627;233.543;234.813;0.613;0.361;0.734;0.618
05.07.2018;16:30:00.000;233.824;233.683;234.925;0.613;0.361;0.649;0.442
05.07.2018;16:40:00.000;234.550;234.124;234.939;0.614;0.363;0.650;0.444
05.07.2018;16:50:00.000;234.585;234.673;234.810;0.614;0.363;0.651;0.445
05.07.2018;17:00:00.000;234.653;234.899;234.954;0.615;0.363;0.652;0.444
05.07.2018;17:10:00.000;234.335;234.294;234.819;0.614;0.362;0.648;0.439
05.07.2018;17:20:00.000;234.655;234.310;235.002;0.613;0.362;0.647;0.436
05.07.2018;17:30:00.000;234.948;234.439;235.148;0.613;0.361;0.647;0.436
05.07.2018;17:40:00.000;234.911;233.965;235.126;0.613;0.364;0.647;0.436
05.07.2018;17:50:00.000;234.792;233.799;235.360;0.607;0.361;0.788;0.692
05.07.2018;18:00:00.000;234.360;234.009;235.100;1.352;0.363;0.759;1.376
05.07.2018;18:10:00.000;233.968;234.643;235.081;1.127;0.362;0.753;1.147
05.07.2018;18:20:00.000;233.995;234.219;235.003;1.107;0.364;0.749;1.123
05.07.2018;18:30:00.000;233.868;233.286;234.822;2.973;0.364;0.783;3.036
05.07.2018;18:40:00.000;233.391;233.769;234.975;5.261;0.719;3.115;4.746
05.07.2018;18:50:00.000;233.372;233.799;235.170;3.346;0.865;3.169;3.161
05.07.2018;19:00:00.000;233.636;233.017;235.242;2.791;0.865;2.592;2.733
05.07.2018;19:10:00.000;234.021;233.172;236.006;4.522;0.856;0.997;4.393
05.07.2018;19:20:00.000;234.082;233.220;235.303;1.121;0.861;3.083;2.691
05.07.2018;19:30:00.000;234.133;233.608;234.746;2.780;0.835;2.498;2.911
05.07.2018;19:40:00.000;233.301;234.159;235.743;0.611;0.790;0.654;0.474
05.07.2018;19:50:00.000;233.850;235.124;236.411;0.606;0.779;0.654;0.479
05.07.2018;20:00:00.000;234.719;235.264;235.655;0.609;0.364;0.649;0.462
05.07.2018;20:10:00.000;234.041;234.900;235.529;0.609;0.363;0.648;0.458
05.07.2018;20:20:00.000;234.409;235.236;236.592;0.760;0.364;0.730;0.784
05.07.2018;20:30:00.000;234.215;235.330;236.778;0.823;0.362;0.766;0.901
05.07.2018;20:40:00.000;235.106;235.244;236.910;0.777;0.362;0.758;0.849
05.07.2018;20:50:00.000;235.484;235.098;237.226;0.780;0.364;0.754;0.849
05.07.2018;21:00:00.000;235.227;235.028;237.389;0.814;0.363;0.753;0.884
05.07.2018;21:10:00.000;234.488;234.239;236.427;0.804;0.374;0.747;0.857
05.07.2018;21:20:00.000;234.321;234.091;237.129;0.805;0.373;0.661;0.780
05.07.2018;21:30:00.000;234.869;234.462;237.475;0.816;0.372;0.662;0.788
05.07.2018;21:40:00.000;236.039;234.925;236.420;0.830;0.425;0.659;0.756
05.07.2018;21:50:00.000;235.673;235.515;236.545;0.817;0.371;0.661;0.792
05.07.2018;22:00:00.000;234.323;234.884;235.397;0.817;0.370;0.655;0.788
05.07.2018;22:10:00.000;233.326;233.401;234.098;0.814;0.367;0.649;0.779
05.07.2018;22:20:00.000;234.079;233.492;234.561;0.749;0.541;0.647;0.616
05.07.2018;22:30:00.000;234.385;233.545;234.499;0.618;0.745;0.642;0.461
05.07.2018;22:40:00.000;233.949;233.794;234.388;0.613;0.761;0.773;0.643
05.07.2018;22:50:00.000;234.203;234.594;235.194;0.612;0.668;0.752;0.607
05.07.2018;23:00:00.000;235.620;235.541;236.372;0.659;0.455;0.749;0.643
05.07.2018;23:10:00.000;235.169;235.680;236.352;0.614;0.509;0.744;0.581
05.07.2018;23:20:00.000;235.880;235.868;236.406;0.617;0.586;0.743;0.585
05.07.2018;23:30:00.000;235.890;236.057;236.477;0.622;0.587;0.657;0.451
05.07.2018;23:40:00.000;235.867;235.988;236.513;0.622;0.425;0.652;0.412
05.07.2018;23:50:00.000;235.718;236.649;236.732;0.622;0.371;0.653;0.430
05.08.2018;00:00:00.000;235.523;237.044;236.880;0.615;0.368;0.654;0.424
05.08.2018;00:10:00.000;235.675;236.368;236.720;0.614;0.369;0.652;0.426
05.08.2018;00:20:00.000;235.840;236.370;236.784;0.614;0.365;0.649;0.419
05.08.2018;00:30:00.000;236.475;236.584;237.008;0.617;0.365;0.651;0.422
05.08.2018;00:40:00.000;236.865;236.632;237.660;0.618;0.366;0.652;0.423
05.08.2018;00:50:00.000;234.357;234.397;234.952;0.613;0.364;0.710;0.534
05.08.2018;01:00:00.000;234.970;235.231;235.781;0.615;0.364;0.756;0.628
05.08.2018;01:10:00.000;235.493;236.313;236.287;0.615;0.363;0.752;0.619
05.08.2018;01:20:00.000;236.242;236.308;236.417;0.614;0.363;0.748;0.614
05.08.2018;01:30:00.000;236.281;236.367;236.871;0.616;0.364;0.746;0.610
05.08.2018;01:40:00.000;236.457;236.167;237.132;0.617;0.363;0.672;0.471
05.08.2018;01:50:00.000;236.534;236.371;237.378;0.618;0.364;0.656;0.431
05.08.2018;02:00:00.000;236.489;236.378;237.362;0.623;0.364;0.656;0.439
05.08.2018;02:10:00.000;236.522;236.076;237.031;0.620;0.365;0.655;0.436
05.08.2018;02:20:00.000;236.704;236.185;237.201;0.617;0.365;0.655;0.430
05.08.2018;02:30:00.000;236.727;236.406;237.199;0.617;0.363;0.651;0.418
05.08.2018;02:40:00.000;236.743;236.507;237.308;0.618;0.363;0.651;0.420
05.08.2018;02:50:00.000;236.892;236.744;237.237;0.619;0.364;0.651;0.418
05.08.2018;03:00:00.000;236.994;236.595;237.225;0.619;0.364;0.716;0.537
05.08.2018;03:10:00.000;236.613;236.039;236.971;0.618;0.364;0.759;0.633
05.08.2018;03:20:00.000;236.737;236.375;237.091;0.619;0.364;0.755;0.624
05.08.2018;03:30:00.000;236.998;236.648;237.112;0.618;0.362;0.752;0.617
05.08.2018;03:40:00.000;236.985;236.477;237.379;0.618;0.364;0.748;0.613
05.08.2018;03:50:00.000;237.067;236.596;237.571;0.619;0.363;0.674;0.471
05.08.2018;04:00:00.000;236.833;236.220;237.388;0.619;0.363;0.656;0.430
05.08.2018;04:10:00.000;237.025;236.477;237.404;0.620;0.360;0.656;0.435
05.08.2018;04:20:00.000;237.247;236.636;237.369;0.621;0.359;0.657;0.436
05.08.2018;04:30:00.000;237.049;236.598;237.251;0.619;0.361;0.656;0.432
05.08.2018;04:40:00.000;236.889;236.746;237.282;0.618;0.360;0.652;0.424
05.08.2018;04:50:00.000;236.902;236.794;237.062;0.618;0.360;0.651;0.425
05.08.2018;05:00:00.000;236.681;236.368;236.813;0.618;0.358;0.651;0.426
05.08.2018;05:10:00.000;236.654;236.437;236.875;0.619;0.363;0.722;0.549
05.08.2018;05:20:00.000;236.312;236.150;236.469;0.616;0.362;0.759;0.636
05.08.2018;05:30:00.000;236.285;236.083;236.463;0.617;0.357;0.754;0.631
05.08.2018;05:40:00.000;235.861;235.808;236.336;0.616;0.359;0.750;0.621
05.08.2018;05:50:00.000;235.821;235.434;235.662;0.614;0.357;0.746;0.617
05.08.2018;06:00:00.000;235.742;235.329;235.395;0.615;0.358;0.661;0.456
05.08.2018;06:10:00.000;235.981;235.342;234.918;0.614;0.357;0.652;0.440
05.08.2018;06:20:00.000;235.668;235.005;234.910;0.618;0.357;0.652;0.437
05.08.2018;06:30:00.000;235.376;234.695;234.636;0.616;0.357;0.652;0.438
05.08.2018;06:40:00.000;234.647;233.999;234.306;0.614;0.359;0.651;0.437
05.08.2018;06:50:00.000;235.452;234.789;235.503;0.614;0.359;0.650;0.432
05.08.2018;07:00:00.000;235.736;235.276;236.056;0.616;0.492;0.649;0.420
05.08.2018;07:10:00.000;234.696;234.180;235.119;0.615;0.717;0.645;0.448
05.08.2018;07:20:00.000;235.774;235.310;236.060;1.298;0.656;0.735;1.206
05.08.2018;07:30:00.000;234.701;235.068;235.557;2.701;1.233;0.771;2.752
05.08.2018;07:40:00.000;234.321;234.954;235.512;0.607;0.356;0.754;0.626
05.08.2018;07:50:00.000;235.132;234.329;234.956;0.617;0.357;0.748;0.625
05.08.2018;08:00:00.000;234.032;234.168;234.828;0.612;0.359;0.749;0.617
05.08.2018;08:10:00.000;233.333;234.143;234.774;0.606;0.358;0.746;0.616
05.08.2018;08:20:00.000;233.901;233.530;234.207;0.610;0.357;0.669;0.477
05.08.2018;08:30:00.000;233.517;233.741;233.929;0.603;0.357;0.652;0.438
05.08.2018;08:40:00.000;234.016;233.728;234.378;0.610;0.358;0.652;0.439
05.08.2018;08:50:00.000;234.194;233.434;233.923;0.612;0.359;0.652;0.441
05.08.2018;09:00:00.000;234.020;233.687;233.679;0.613;0.358;0.652;0.441
05.08.2018;09:10:00.000;234.525;234.158;234.166;0.612;0.360;0.648;0.431
05.08.2018;09:20:00.000;234.196;234.018;234.121;0.611;0.357;0.643;0.431
05.08.2018;09:30:00.000;234.734;234.058;234.448;0.612;0.358;0.646;0.430
05.08.2018;09:40:00.000;234.612;233.823;234.473;0.614;0.357;0.689;0.503
05.08.2018;09:50:00.000;234.075;233.811;234.191;0.615;0.358;0.758;0.645
05.08.2018;10:00:00.000;234.259;233.544;234.295;0.615;0.357;0.754;0.640
05.08.2018;10:10:00.000;235.742;235.435;235.199;1.425;0.358;0.758;1.439
05.08.2018;10:20:00.000;235.862;235.255;235.979;0.617;0.357;0.750;0.626
05.08.2018;10:30:00.000;236.108;234.848;236.118;0.616;0.552;0.745;0.580
05.08.2018;10:40:00.000;236.488;235.127;235.486;0.616;0.663;0.744;0.551
05.08.2018;10:50:00.000;236.420;234.836;235.975;0.615;0.564;0.746;0.593
05.08.2018;11:00:00.000;235.887;234.683;236.047;1.128;0.359;0.753;1.152
05.08.2018;11:10:00.000;235.741;234.564;236.135;2.379;0.420;0.696;2.505
05.08.2018;11:20:00.000;235.598;234.207;236.250;2.137;0.543;0.665;2.099
05.08.2018;11:30:00.000;235.634;234.321;236.000;3.566;1.081;3.625;3.860
05.08.2018;11:40:00.000;235.623;234.760;235.695;4.376;1.089;2.742;4.382
05.08.2018;11:50:00.000;235.806;234.404;235.597;3.973;1.037;1.426;3.965
05.08.2018;12:00:00.000;235.968;233.909;236.656;1.184;0.736;0.732;1.146
05.08.2018;12:10:00.000;236.090;234.254;236.789;0.617;0.416;0.652;0.399
05.08.2018;12:20:00.000;236.600;235.364;236.690;0.614;0.411;0.651;0.400
05.08.2018;12:30:00.000;234.188;232.960;234.948;1.669;0.409;0.795;1.673
05.08.2018;12:40:00.000;234.080;233.156;235.215;0.971;0.401;0.758;0.931
05.08.2018;12:50:00.000;233.308;234.104;234.617;5.120;0.447;3.717;5.194
05.08.2018;13:00:00.000;233.752;234.316;235.058;5.101;0.413;3.969;5.040
05.08.2018;13:10:00.000;233.398;234.233;233.507;8.410;0.890;4.356;6.619
05.08.2018;13:20:00.000;235.053;236.497;236.293;8.810;0.508;2.047;8.439
05.08.2018;13:30:00.000;235.367;236.058;235.719;1.498;0.525;0.753;1.401
05.08.2018;13:40:00.000;234.712;235.843;236.017;0.703;0.520;0.748;0.568
05.08.2018;13:50:00.000;235.107;235.891;235.708;6.639;0.523;0.806;6.479
05.08.2018;14:00:00.000;234.960;235.538;235.994;8.559;0.427;0.796;8.533
05.08.2018;14:10:00.000;235.530;234.745;236.234;5.574;0.363;0.695;5.622
05.08.2018;14:20:00.000;236.163;235.534;236.143;0.614;0.363;0.653;0.441
05.08.2018;14:30:00.000;236.002;235.672;236.201;0.615;0.363;0.655;0.442
05.08.2018;14:40:00.000;236.109;235.993;235.879;0.613;0.362;0.655;0.439
05.08.2018;14:50:00.000;236.185;235.714;236.067;0.616;0.363;0.650;0.430
05.08.2018;15:00:00.000;235.893;235.844;236.439;0.616;0.363;0.650;0.430
05.08.2018;15:10:00.000;235.776;236.235;236.882;0.616;0.362;0.650;0.428
05.08.2018;15:20:00.000;236.324;235.689;236.892;0.622;0.362;0.651;0.428
05.08.2018;15:30:00.000;236.134;235.592;237.123;0.620;0.364;0.781;0.659
05.08.2018;15:40:00.000;236.843;235.881;237.072;0.622;0.358;0.758;0.642
05.08.2018;15:50:00.000;236.647;235.703;236.598;0.619;0.355;0.752;0.632
05.08.2018;16:00:00.000;234.306;233.507;234.611;0.614;0.357;0.744;0.621
05.08.2018;16:10:00.000;234.664;234.444;235.790;0.618;0.490;0.743;0.598
05.08.2018;16:20:00.000;235.179;234.201;236.075;0.614;0.624;0.742;0.558
05.08.2018;16:30:00.000;235.053;234.175;236.277;0.615;0.361;0.658;0.442
05.08.2018;16:40:00.000;235.845;235.238;236.221;0.617;0.362;0.655;0.438
05.08.2018;16:50:00.000;236.037;235.400;236.972;0.616;0.361;0.657;0.437
05.08.2018;17:00:00.000;234.653;234.061;235.168;0.613;0.358;0.654;0.436
05.08.2018;17:10:00.000;235.273;235.031;235.843;0.615;0.360;0.651;0.432
05.08.2018;17:20:00.000;235.649;235.009;236.064;0.615;0.358;0.650;0.429
05.08.2018;17:30:00.000;233.993;233.254;234.732;0.611;0.357;0.646;0.430
05.08.2018;17:40:00.000;233.888;233.243;234.548;0.611;0.358;0.646;0.429
05.08.2018;17:50:00.000;233.808;233.285;233.681;0.613;0.356;0.732;0.591
05.08.2018;18:00:00.000;234.246;233.368;233.967;0.615;0.356;0.756;0.651
05.08.2018;18:10:00.000;233.917;233.708;233.770;0.614;0.357;0.748;0.626
05.08.2018;18:20:00.000;233.429;233.117;234.194;0.616;0.356;0.743;0.619
05.08.2018;18:30:00.000;233.301;232.901;234.247;0.614;0.358;0.741;0.612
05.08.2018;18:40:00.000;233.252;231.846;234.831;0.611;0.360;0.657;0.452
05.08.2018;18:50:00.000;233.204;232.129;234.652;0.607;0.359;0.650;0.433
05.08.2018;19:00:00.000;233.265;232.144;234.605;0.606;0.359;0.651;0.432
05.08.2018;19:10:00.000;233.565;232.965;234.599;0.614;0.357;0.652;0.432
05.08.2018;19:20:00.000;232.888;234.348;234.513;0.610;0.356;0.650;0.429
05.08.2018;19:30:00.000;233.904;234.345;234.538;0.613;0.357;0.649;0.437
05.08.2018;19:40:00.000;234.123;233.232;235.643;0.845;0.361;0.656;0.843
05.08.2018;19:50:00.000;233.913;233.907;235.476;0.820;0.360;0.654;0.810
05.08.2018;20:00:00.000;233.865;234.771;234.859;0.843;0.357;0.759;0.927
05.08.2018;20:10:00.000;233.783;234.694;235.246;0.847;0.355;0.761;0.921
05.08.2018;20:20:00.000;234.105;234.564;235.648;0.841;0.363;0.756;0.904
05.08.2018;20:30:00.000;234.655;234.849;235.404;0.813;0.364;0.753;0.867
05.08.2018;20:40:00.000;234.735;234.653;236.204;0.788;0.364;0.751;0.837
05.08.2018;20:50:00.000;234.589;234.456;236.188;0.768;0.362;0.703;0.765
05.08.2018;21:00:00.000;234.309;235.338;235.931;0.755;0.363;0.657;0.705
05.08.2018;21:10:00.000;233.820;234.290;235.388;0.658;0.419;0.653;0.523
05.08.2018;21:20:00.000;233.508;233.070;234.950;0.610;0.392;0.652;0.414
05.08.2018;21:30:00.000;233.628;234.178;234.995;0.622;0.784;0.650;0.512
05.08.2018;21:40:00.000;233.736;233.923;235.181;0.660;0.969;0.648;0.556
05.08.2018;21:50:00.000;233.737;233.885;235.878;0.615;1.150;0.647;0.789
05.08.2018;22:00:00.000;234.448;234.949;236.392;0.620;1.079;0.646;0.727
05.08.2018;22:10:00.000;234.366;234.884;236.373;0.613;1.925;0.644;1.693
05.08.2018;22:20:00.000;233.432;233.781;234.781;0.663;1.163;0.793;0.993
05.08.2018;22:30:00.000;233.982;234.039;234.871;0.659;0.695;0.754;0.513
05.08.2018;22:40:00.000;234.221;234.022;234.744;0.612;0.842;0.746;0.492
05.08.2018;22:50:00.000;234.094;234.642;235.374;0.611;0.788;0.741;0.557
05.08.2018;23:00:00.000;234.621;235.028;235.623;0.612;0.650;0.740;0.547
05.08.2018;23:10:00.000;234.609;235.379;235.771;0.626;0.415;0.658;0.459
05.08.2018;23:20:00.000;235.541;235.232;235.842;0.632;0.411;0.652;0.464
05.08.2018;23:30:00.000;235.876;236.116;236.130;0.618;0.362;0.651;0.432
05.08.2018;23:40:00.000;235.579;235.846;236.246;0.621;0.362;0.650;0.428
05.08.2018;23:50:00.000;235.554;236.122;236.501;0.621;0.364;0.650;0.427
05.09.2018;00:00:00.000;235.521;236.228;236.531;0.616;0.362;0.651;0.419
05.09.2018;00:10:00.000;235.065;235.669;236.369;0.615;0.363;0.650;0.420
05.09.2018;00:20:00.000;235.441;235.748;236.623;0.614;0.364;0.764;0.627
05.09.2018;00:30:00.000;235.797;235.714;236.626;0.615;0.362;0.756;0.628
05.09.2018;00:40:00.000;235.813;236.087;236.915;0.617;0.363;0.751;0.617
05.09.2018;00:50:00.000;235.909;236.298;237.079;0.618;0.363;0.749;0.611
05.09.2018;01:00:00.000;236.270;236.191;236.836;0.619;0.364;0.739;0.596
05.09.2018;01:10:00.000;236.179;236.080;236.659;0.618;0.364;0.652;0.425
05.09.2018;01:20:00.000;236.183;235.963;236.721;0.618;0.365;0.653;0.426
05.09.2018;01:30:00.000;235.608;235.607;236.115;0.617;0.363;0.653;0.428
05.09.2018;01:40:00.000;235.541;235.629;236.248;0.616;0.363;0.652;0.428
05.09.2018;01:50:00.000;235.679;235.568;236.356;0.617;0.364;0.651;0.424
05.09.2018;02:00:00.000;235.677;235.612;236.438;0.621;0.362;0.649;0.426
05.09.2018;02:10:00.000;235.901;235.588;236.501;0.619;0.364;0.651;0.423
05.09.2018;02:20:00.000;236.098;235.816;236.512;0.617;0.362;0.651;0.420
05.09.2018;02:30:00.000;236.118;236.023;236.352;0.616;0.359;0.746;0.600
05.09.2018;02:40:00.000;236.405;236.081;236.428;0.618;0.373;0.756;0.598
05.09.2018;02:50:00.000;236.461;236.077;236.521;0.617;0.372;0.752;0.592
05.09.2018;03:00:00.000;236.673;236.149;236.636;0.617;0.370;0.749;0.594
05.09.2018;03:10:00.000;236.462;236.046;236.631;0.617;0.359;0.747;0.622
05.09.2018;03:20:00.000;236.413;236.065;236.903;0.617;0.358;0.693;0.515
05.09.2018;03:30:00.000;236.822;236.081;236.588;0.619;0.359;0.655;0.435
05.09.2018;03:40:00.000;236.854;236.370;236.916;0.618;0.358;0.656;0.435
05.09.2018;03:50:00.000;236.696;236.274;237.151;0.618;0.360;0.656;0.432
05.09.2018;04:00:00.000;236.702;236.235;237.197;0.618;0.358;0.655;0.436
05.09.2018;04:10:00.000;237.102;236.509;237.066;0.618;0.360;0.652;0.425
05.09.2018;04:20:00.000;237.181;236.721;237.215;0.619;0.360;0.652;0.425
05.09.2018;04:30:00.000;237.099;236.600;237.132;0.618;0.359;0.653;0.425
05.09.2018;04:40:00.000;236.949;236.618;237.118;0.618;0.359;0.652;0.425
05.09.2018;04:50:00.000;236.977;236.673;237.194;0.618;0.358;0.789;0.675
05.09.2018;05:00:00.000;236.927;236.626;237.213;0.617;0.358;0.756;0.634
05.09.2018;05:10:00.000;236.779;236.363;237.167;0.617;0.358;0.750;0.626
05.09.2018;05:20:00.000;236.528;236.068;236.940;0.617;0.358;0.747;0.621
05.09.2018;05:30:00.000;236.299;235.978;236.644;0.617;0.359;0.699;0.529
05.09.2018;05:40:00.000;235.697;235.551;236.254;0.616;0.359;0.654;0.435
05.09.2018;05:50:00.000;235.603;234.798;235.802;0.617;0.358;0.653;0.432
05.09.2018;06:00:00.000;235.350;234.952;235.440;0.616;0.358;0.653;0.438
05.09.2018;06:10:00.000;234.436;234.022;234.309;0.614;0.358;0.651;0.440
05.09.2018;06:20:00.000;235.764;235.594;235.579;0.615;0.357;0.650;0.432
05.09.2018;06:30:00.000;236.253;236.074;235.776;0.617;0.358;0.650;0.430
05.09.2018;06:40:00.000;235.786;235.362;235.292;0.615;0.358;0.649;0.428
05.09.2018;06:50:00.000;235.356;235.223;234.280;0.612;0.358;0.647;0.428
05.09.2018;07:00:00.000;235.033;234.680;234.304;0.611;0.360;0.768;0.647
05.09.2018;07:10:00.000;235.862;235.105;234.948;0.614;0.499;0.759;0.614
05.09.2018;07:20:00.000;235.174;234.739;234.847;0.610;0.651;0.750;0.562
05.09.2018;07:30:00.000;234.452;234.723;234.241;4.035;0.652;0.771;4.014
05.09.2018;07:40:00.000;234.073;234.133;233.536;2.338;0.359;0.755;2.342
05.09.2018;07:50:00.000;234.078;233.312;233.454;0.662;0.513;0.745;0.661
05.09.2018;08:00:00.000;234.323;233.824;234.240;0.621;0.398;0.718;0.571
05.09.2018;08:10:00.000;236.438;235.996;237.000;0.617;0.360;0.658;0.439
05.09.2018;08:20:00.000;235.087;234.320;236.059;0.614;0.359;0.656;0.440
05.09.2018;08:30:00.000;233.801;233.556;234.553;0.611;0.434;0.653;0.425
05.09.2018;08:40:00.000;233.947;233.549;233.825;0.608;0.420;0.651;0.385
05.09.2018;08:50:00.000;233.711;233.717;234.575;0.608;0.388;0.653;0.401
05.09.2018;09:00:00.000;236.405;236.056;237.299;0.616;0.395;0.655;0.397
05.09.2018;09:10:00.000;234.443;234.515;235.673;0.616;0.394;0.651;0.391
05.09.2018;09:20:00.000;235.044;234.450;235.244;0.618;0.397;0.652;0.391
05.09.2018;09:30:00.000;233.912;233.967;234.553;0.610;0.394;0.650;0.392
05.09.2018;09:40:00.000;233.384;233.537;234.150;0.604;0.390;0.792;0.599
05.09.2018;09:50:00.000;233.720;233.560;234.738;0.611;0.393;0.754;0.541
05.09.2018;10:00:00.000;233.497;233.374;234.654;0.616;0.393;0.750;0.535
05.09.2018;10:10:00.000;234.396;235.390;236.783;0.618;0.394;0.750;0.523
05.09.2018;10:20:00.000;235.070;235.760;236.702;2.274;0.392;0.681;2.297
05.09.2018;10:30:00.000;234.744;235.571;236.634;1.067;0.392;0.662;0.986
05.09.2018;10:40:00.000;235.390;235.746;236.628;0.620;0.392;0.660;0.401
05.09.2018;10:50:00.000;235.948;235.639;236.077;0.619;0.395;0.655;0.404
05.09.2018;11:00:00.000;235.697;235.595;235.704;2.347;0.392;0.664;2.388
05.09.2018;11:10:00.000;235.366;235.594;235.863;0.702;0.389;0.645;0.524
05.09.2018;11:20:00.000;235.482;235.943;236.484;0.616;0.391;0.652;0.396
05.09.2018;11:30:00.000;234.868;235.949;235.495;0.611;0.392;0.654;0.395
05.09.2018;11:40:00.000;234.011;236.017;235.782;0.613;0.393;0.796;0.598
05.09.2018;11:50:00.000;234.383;235.146;236.355;0.615;0.446;0.760;0.576
05.09.2018;12:00:00.000;234.753;234.827;236.484;0.619;0.504;0.751;0.556
05.09.2018;12:10:00.000;234.213;234.870;236.618;0.612;0.366;0.751;0.601
05.09.2018;12:20:00.000;234.909;236.075;237.177;0.612;0.365;0.749;0.604
05.09.2018;12:30:00.000;233.961;233.902;235.484;0.612;0.367;0.745;0.599
05.09.2018;12:40:00.000;232.648;233.682;234.940;0.644;0.366;0.695;0.541
05.09.2018;12:50:00.000;232.459;233.760;234.795;0.663;0.365;0.653;0.478
05.09.2018;13:00:00.000;233.042;234.113;234.876;0.665;0.384;0.652;0.470
05.09.2018;13:10:00.000;233.225;232.944;234.150;0.664;0.368;0.650;0.494
05.09.2018;13:20:00.000;235.074;234.941;236.227;0.667;0.357;0.653;0.500
05.09.2018;13:30:00.000;234.668;235.178;236.075;0.650;0.366;0.652;0.464
05.09.2018;13:40:00.000;234.328;235.201;235.948;0.615;0.360;0.650;0.430
05.09.2018;13:50:00.000;234.282;235.363;235.888;0.606;0.460;0.652;0.421
05.09.2018;14:00:00.000;235.167;234.836;235.221;0.616;0.398;0.795;0.656
05.09.2018;14:10:00.000;235.007;234.877;235.120;0.613;0.369;0.755;0.602
05.09.2018;14:20:00.000;234.845;235.423;235.461;0.612;0.417;0.748;0.589
05.09.2018;14:30:00.000;235.390;235.790;236.163;0.613;0.357;0.747;0.619
05.09.2018;14:40:00.000;235.042;236.314;236.361;0.608;0.356;0.746;0.613
05.09.2018;14:50:00.000;234.560;236.525;236.380;0.607;0.355;0.686;0.494
05.09.2018;15:00:00.000;235.876;236.136;236.652;0.618;0.359;0.658;0.439
05.09.2018;15:10:00.000;235.677;235.508;236.359;0.619;0.358;0.656;0.439
05.09.2018;15:20:00.000;234.163;233.984;235.027;0.610;0.357;0.649;0.441
05.09.2018;15:30:00.000;233.844;234.581;234.808;0.611;0.366;0.652;0.425
05.09.2018;15:40:00.000;233.641;234.129;235.360;0.612;0.378;0.648;0.388
